council,control_2026
Aberdeen City,Coalition
Aberdeenshire,Coalition
Angus,Coalition
Argyll and Bute,Coalition
Conwy,Coalition
Denbighshire,Coalition
Dumfries and Galloway,Coalition
East Renfrewshire,Coalition
Highland,Coalition
Neath Port Talbot,Coalition
Pembrokeshire,Coalition
Powys,Coalition
Scottish Borders,Coalition
Sheffield,Coalition
South Lanarkshire,Coalition
Vale of Glamorgan,Coalition
Wrexham,Coalition
Dudley,Conservative
Moray,Conservative
South Ayrshire,Conservative
Merthyr Tydfil,Independent
Na h-Eileanan Siar,Independent
Orkney Islands,Independent
Shetland Islands,Independent
Blaenau Gwent,Labour
Bolton,Labour
Bridgend,Labour
Bury,Labour
Caerphilly,Labour
Cardiff,Labour
City of Edinburgh,Labour
East Lothian,Labour
Fife,Labour
Flintshire,Labour
Inverclyde,Labour
Kirklees,Labour
Knowsley,Labour
Liverpool,Labour
Manchester,Labour
Monmouthshire,Labour
Newcastle upon Tyne,Labour
Newport,Labour
North Lanarkshire,Labour
North Tyneside,Labour
Oldham,Labour
Rhondda Cynon Taf,Labour
Rochdale,Labour
Salford,Labour
Sefton,Labour
Stirling,Labour
Swansea,Labour
Torfaen,Labour
Trafford,Labour
West Dunbartonshire,Labour
West Lothian,Labour
Wigan,Labour
Wirral,Labour
Wolverhampton,Labour
Stockport,Liberal Democrat
Bradford,Other / NOC
Coventry,Other / NOC
Leeds,Other / NOC
Solihull,Other / NOC
Tameside,Other / NOC
Carmarthenshire,Plaid Cymru
Ceredigion,Plaid Cymru
Gwynedd,Plaid Cymru
Isle of Anglesey,Plaid Cymru
Barnsley,Reform UK
Calderdale,Reform UK
Gateshead,Reform UK
Sandwell,Reform UK
South Tyneside,Reform UK
Sunderland,Reform UK
Wakefield,Reform UK
Walsall,Reform UK
Clackmannanshire,SNP
Dundee City,SNP
East Ayrshire,SNP
East Dunbartonshire,SNP
Falkirk,SNP
Glasgow City,SNP
Midlothian,SNP
North Ayrshire,SNP
Perth and Kinross,SNP
Renfrewshire,SNP
